Data;Abertura;Máxima;Mínima;Fechamento
12/02/2020 18:05;117280;117395;117200;117200
12/02/2020 18:00;117360;117435;117280;117280
12/02/2020 17:56;117440;117520;117360;117360
12/02/2020 17:56;117520;117555;117440;117440
12/02/2020 17:55;117600;117695;117520;117520
12/02/2020 17:52;117600;117680;117510;117680
12/02/2020 17:51;117520;117600;117505;117600
12/02/2020 17:50;117440;117520;117435;117520
12/02/2020 17:42;117360;117440;117275;117440
12/02/2020 17:33;117360;117515;117280;117280
12/02/2020 17:20;117360;117440;117215;117440
12/02/2020 17:18;117360;117385;117280;117280
12/02/2020 17:16;117440;117535;117360;117360
12/02/2020 17:11;117440;117520;117345;117520
12/02/2020 17:11;117440;117460;117360;117360
12/02/2020 17:10;117520;117545;117440;117440
12/02/2020 17:09;117600;117615;117520;117520
12/02/2020 17:03;117680;117820;117600;117600
12/02/2020 17:00;117680;117760;117575;117760
12/02/2020 16:55;117680;117710;117600;117600
12/02/2020 16:55;117760;117770;117680;117680
12/02/2020 16:43;117840;117960;117760;117760
12/02/2020 16:42;117920;117925;117840;117840
12/02/2020 16:42;118000;118000;117920;117920
12/02/2020 16:37;118080;118160;118000;118000
12/02/2020 16:34;118160;118190;118080;118080
12/02/2020 16:28;118240;118330;118160;118160
12/02/2020 16:18;118240;118320;118100;118320
12/02/2020 16:14;118240;118280;118160;118160
12/02/2020 16:11;118320;118420;118240;118240
12/02/2020 16:08;118320;118400;118280;118400
12/02/2020 16:04;118240;118320;118175;118320
12/02/2020 16:04;118160;118240;118160;118240
12/02/2020 16:01;118080;118160;117990;118160
12/02/2020 15:58;118080;118165;118000;118000
12/02/2020 15:57;118080;118160;118070;118160
12/02/2020 15:55;118000;118080;117990;118080
12/02/2020 15:53;117920;118000;117885;118000
12/02/2020 15:50;117840;117920;117815;117920
12/02/2020 15:45;117760;117840;117760;117840
12/02/2020 15:40;117680;117760;117655;117760
12/02/2020 15:28;117600;117680;117470;117680
12/02/2020 15:05;117520;117600;117380;117600
12/02/2020 15:01;117440;117520;117365;117520
12/02/2020 14:59;117360;117440;117300;117440
12/02/2020 14:59;117280;117360;117270;117360
12/02/2020 14:59;117200;117280;117195;117280
12/02/2020 14:58;117120;117200;117110;117200
12/02/2020 14:46;117040;117120;116910;117120
12/02/2020 14:45;116960;117040;116900;117040
12/02/2020 14:39;116880;116960;116825;116960
12/02/2020 14:36;116800;116880;116745;116880
12/02/2020 14:26;116720;116800;116625;116800
