Data;Abertura;Máxima;Mínima;Fechamento
23/01/2020 18:09;120720;120800;120625;120800
23/01/2020 18:09;120640;120720;120640;120720
23/01/2020 17:39;120560;120640;120420;120640
23/01/2020 17:36;120560;120670;120480;120480
23/01/2020 17:29;120560;120640;120500;120640
23/01/2020 17:07;120480;120560;120480;120560
23/01/2020 17:05;120400;120480;120260;120480
23/01/2020 17:05;120400;120400;120320;120320
23/01/2020 16:20;120480;120620;120400;120400
23/01/2020 16:20;120480;120560;120480;120560
23/01/2020 15:46;120400;120480;120260;120480
23/01/2020 15:34;120320;120400;120320;120400
23/01/2020 15:33;120240;120320;120240;120320
23/01/2020 15:31;120160;120240;120015;120240
23/01/2020 15:28;120160;120255;120080;120080
23/01/2020 15:23;120160;120240;120160;120240
23/01/2020 15:23;120080;120160;120080;120160
23/01/2020 15:23;120000;120080;120000;120080
23/01/2020 15:22;119920;120000;119920;120000
23/01/2020 15:17;119840;119920;119840;119920
23/01/2020 14:50;119760;119840;119660;119840
23/01/2020 14:46;119680;119760;119650;119760
23/01/2020 14:40;119600;119680;119545;119680
23/01/2020 14:20;119520;119600;119445;119600
23/01/2020 14:07;119440;119520;119405;119520
23/01/2020 13:55;119360;119440;119310;119440
23/01/2020 13:53;119280;119360;119280;119360
23/01/2020 13:53;119200;119280;119200;119280
23/01/2020 13:53;119120;119200;119120;119200
23/01/2020 13:46;119040;119120;119040;119120
23/01/2020 13:35;118960;119040;118935;119040
23/01/2020 13:26;118880;118960;118840;118960
23/01/2020 13:26;118800;118880;118800;118880
23/01/2020 12:49;118720;118800;118720;118800
23/01/2020 12:38;118640;118720;118605;118720
23/01/2020 12:38;118560;118640;118560;118640
23/01/2020 12:19;118480;118560;118440;118560
23/01/2020 12:18;118400;118480;118400;118480
23/01/2020 12:18;118320;118400;118320;118400
23/01/2020 12:06;118240;118320;118240;118320
23/01/2020 11:33;118160;118240;118000;118240
23/01/2020 10:13;118160;118300;118080;118080
23/01/2020 10:13;118240;118240;118160;118160
23/01/2020 10:10;118320;118320;118240;118240
23/01/2020 10:10;118400;118400;118320;118320
23/01/2020 10:10;118480;118480;118400;118400
23/01/2020 10:03;118560;118560;118480;118480
23/01/2020 09:34;118640;118770;118560;118560
23/01/2020 09:33;118720;118720;118640;118640
23/01/2020 09:21;118800;118800;118720;118720
23/01/2020 09:16;118880;118880;118800;118800
23/01/2020 09:16;118960;118960;118880;118880
23/01/2020 09:16;119040;119040;118960;118960
23/01/2020 09:16;119120;119120;119040;119040
23/01/2020 09:16;119200;119200;119120;119120
