Data;Abertura;Máxima;Mínima;Fechamento
14/02/2020 14:16;114840;115275;114765;114975
14/02/2020 13:01;115060;115260;114840;114840
14/02/2020 11:50;115280;115510;115060;115060
14/02/2020 11:45;115500;115555;115280;115280
14/02/2020 11:35;115720;115780;115500;115500
14/02/2020 10:23;115940;116270;115720;115720
14/02/2020 10:05;116160;116295;115940;115940
14/02/2020 09:28;116380;116565;116160;116160
14/02/2020 09:00;116600;116930;116380;116380
14/02/2020 09:00;116600;116820;116600;116820
13/02/2020 15:45;116380;116600;116055;116600
13/02/2020 14:31;116160;116380;115900;116380
13/02/2020 14:27;116160;116185;115940;115940
13/02/2020 13:35;116380;116705;116160;116160
13/02/2020 13:00;116380;116600;116160;116600
13/02/2020 12:46;116160;116380;116095;116380
13/02/2020 12:01;115940;116160;115615;116160
13/02/2020 11:52;115940;115990;115720;115720
13/02/2020 11:25;116160;116380;115940;115940
13/02/2020 10:59;116380;116645;116160;116160
13/02/2020 10:53;116380;116600;116365;116600
13/02/2020 10:49;116160;116380;116160;116380
13/02/2020 10:40;115940;116160;115845;116160
13/02/2020 10:25;115720;115940;115440;115940
13/02/2020 10:07;115720;115880;115500;115500
13/02/2020 09:03;115940;116360;115720;115720
13/02/2020 09:03;116160;116160;115940;115940
13/02/2020 09:03;116380;116380;116160;116160
13/02/2020 09:03;116600;116600;116380;116380
13/02/2020 09:03;116820;116820;116600;116600
13/02/2020 09:03;117040;117040;116820;116820
12/02/2020 17:20;117260;117695;117040;117040
12/02/2020 17:10;117480;117535;117260;117260
12/02/2020 16:55;117700;117820;117480;117480
12/02/2020 16:42;117920;117960;117700;117700
12/02/2020 16:10;118140;118420;117920;117920
12/02/2020 15:58;118140;118360;117990;118360
12/02/2020 15:53;117920;118140;117885;118140
12/02/2020 15:40;117700;117920;117655;117920
12/02/2020 15:05;117480;117700;117380;117700
12/02/2020 14:59;117260;117480;117250;117480
12/02/2020 14:46;117040;117260;116910;117260
12/02/2020 10:30;116820;117040;116415;117040
12/02/2020 10:23;116600;116820;116370;116820
12/02/2020 10:02;116600;116870;116380;116380
12/02/2020 09:33;116600;116820;116310;116820
12/02/2020 09:30;116600;116630;116380;116380
12/02/2020 09:03;116820;117150;116600;116600
12/02/2020 09:00;116820;117040;116500;117040
12/02/2020 09:00;116600;116820;116600;116820
12/02/2020 09:00;116380;116600;116380;116600
11/02/2020 17:50;116160;116380;116000;116380
11/02/2020 17:10;115940;116160;115650;116160
11/02/2020 16:06;115940;116275;115720;115720
11/02/2020 15:35;116160;116420;115940;115940
11/02/2020 14:19;116160;116380;116035;116380
11/02/2020 12:54;115940;116160;115695;116160
11/02/2020 12:08;115720;115940;115600;115940
11/02/2020 11:56;115500;115720;115490;115720
11/02/2020 11:33;115280;115500;114970;115500
11/02/2020 11:28;115060;115280;115060;115280
11/02/2020 10:50;114840;115060;114665;115060
11/02/2020 10:35;114620;114840;114340;114840
11/02/2020 09:24;114620;115050;114400;114400
11/02/2020 09:03;114620;114840;114450;114840
11/02/2020 09:03;114400;114620;114400;114620
11/02/2020 09:03;114180;114400;114180;114400
11/02/2020 09:03;113960;114180;113960;114180
10/02/2020 18:06;113740;113960;113630;113960
10/02/2020 17:49;113520;113740;113415;113740
10/02/2020 15:50;113300;113520;112910;113520
10/02/2020 14:14;113300;113430;113080;113080
10/02/2020 14:03;113520;113520;113300;113300
10/02/2020 12:46;113740;113985;113520;113520
10/02/2020 11:50;113740;113960;113445;113960
10/02/2020 11:49;113740;113760;113520;113520
10/02/2020 11:33;113960;114190;113740;113740
10/02/2020 11:16;114180;114220;113960;113960
10/02/2020 11:12;114400;114455;114180;114180
10/02/2020 10:44;114620;114960;114400;114400
10/02/2020 10:40;114620;114840;114620;114840
10/02/2020 10:34;114400;114620;114325;114620
10/02/2020 09:36;114180;114400;113805;114400
10/02/2020 09:00;114180;114380;113960;113960
07/02/2020 18:09;114400;114400;114180;114180
07/02/2020 18:09;114620;114955;114400;114400
07/02/2020 18:08;114620;114840;114300;114840
07/02/2020 16:48;114620;114980;114400;114400
07/02/2020 16:02;114840;114945;114620;114620
07/02/2020 15:34;115060;115225;114840;114840
07/02/2020 13:55;115280;115680;115060;115060
07/02/2020 13:13;115280;115500;115170;115500
07/02/2020 12:43;115060;115280;114940;115280
07/02/2020 12:17;114840;115060;114615;115060
07/02/2020 12:09;114840;114895;114620;114620
07/02/2020 12:00;115060;115060;114840;114840
07/02/2020 11:45;115280;115350;115060;115060
07/02/2020 10:48;115500;115810;115280;115280
07/02/2020 10:31;115720;115985;115500;115500
07/02/2020 10:19;115720;115940;115490;115940
07/02/2020 09:03;115500;115720;115095;115720
07/02/2020 09:02;115500;115500;115280;115280
06/02/2020 16:35;115720;116055;115500;115500
06/02/2020 16:08;115940;116100;115720;115720
06/02/2020 15:48;116160;116325;115940;115940
06/02/2020 15:35;116380;116380;116160;116160
06/02/2020 15:23;116600;116600;116380;116380
06/02/2020 15:10;116820;116820;116600;116600
06/02/2020 12:30;117040;117315;116820;116820
06/02/2020 12:23;117260;117335;117040;117040
06/02/2020 12:15;117480;117495;117260;117260
06/02/2020 11:38;117700;117890;117480;117480
06/02/2020 11:09;117920;118280;117700;117700
06/02/2020 10:17;117920;118140;117615;118140
06/02/2020 09:51;117920;118160;117700;117700
06/02/2020 09:28;117920;118140;117905;118140
06/02/2020 09:01;117700;117920;117600;117920
06/02/2020 09:01;117480;117700;117480;117700
05/02/2020 16:42;117260;117480;116950;117480
05/02/2020 15:03;117260;117500;117040;117040
05/02/2020 14:06;117480;117680;117260;117260
05/02/2020 13:35;117700;117700;117480;117480
05/02/2020 12:27;117920;117920;117700;117700
05/02/2020 10:08;118140;118540;117920;117920
05/02/2020 10:02;118140;118360;118135;118360
05/02/2020 09:49;117920;118140;117885;118140
05/02/2020 09:38;117700;117920;117700;117920
05/02/2020 09:00;117480;117700;117445;117700
05/02/2020 09:00;117260;117480;117260;117480
05/02/2020 09:00;117040;117260;117040;117260
05/02/2020 09:00;116820;117040;116820;117040
04/02/2020 17:40;116600;116820;116305;116820
04/02/2020 15:42;116600;116700;116380;116380
04/02/2020 14:35;116820;116975;116600;116600
04/02/2020 13:42;117040;117350;116820;116820
04/02/2020 13:00;117040;117260;116680;117260
04/02/2020 11:16;117040;117355;116820;116820
04/02/2020 09:59;117260;117540;117040;117040
04/02/2020 09:29;117260;117480;117255;117480
04/02/2020 09:06;117040;117260;116950;117260
04/02/2020 09:02;116820;117040;116820;117040
04/02/2020 09:02;116600;116820;116600;116820
04/02/2020 09:02;116380;116600;116380;116600
04/02/2020 09:02;116160;116380;116160;116380
03/02/2020 17:58;115940;116160;115545;116160
03/02/2020 14:48;115940;116225;115720;115720
03/02/2020 12:00;115940;116160;115620;116160
03/02/2020 11:55;115720;115940;115720;115940
03/02/2020 11:47;115500;115720;115500;115720
03/02/2020 11:35;115280;115500;115280;115500
03/02/2020 11:09;115060;115280;114930;115280
03/02/2020 11:04;114840;115060;114840;115060
03/02/2020 10:34;114620;114840;114355;114840
03/02/2020 10:31;114620;114620;114400;114400
03/02/2020 09:04;114840;115250;114620;114620
03/02/2020 09:02;114840;115060;114840;115060
31/01/2020 17:55;114620;114840;114620;114840
31/01/2020 17:30;114400;114620;114045;114620
31/01/2020 17:11;114400;114400;114180;114180
31/01/2020 16:12;114620;114925;114400;114400
31/01/2020 14:01;114620;114840;114250;114840
31/01/2020 13:38;114400;114620;114115;114620
31/01/2020 12:08;114400;114535;114180;114180
31/01/2020 12:03;114620;114620;114400;114400
31/01/2020 10:37;114840;115250;114620;114620
31/01/2020 10:29;114840;115060;114840;115060
31/01/2020 10:29;114620;114840;114620;114840
31/01/2020 10:29;114400;114620;114055;114620
31/01/2020 10:29;114400;114400;114180;114180
31/01/2020 10:29;114620;114620;114400;114400
31/01/2020 10:01;114840;114860;114620;114620
31/01/2020 09:37;115060;115155;114840;114840
31/01/2020 09:02;115280;115385;115060;115060
31/01/2020 09:02;115500;115500;115280;115280
31/01/2020 09:02;115720;115720;115500;115500
31/01/2020 09:02;115940;115940;115720;115720
30/01/2020 17:59;116160;116560;115940;115940
30/01/2020 17:43;116160;116380;116150;116380
30/01/2020 17:32;115940;116160;115690;116160
30/01/2020 17:21;115720;115940;115565;115940
30/01/2020 17:04;115500;115720;115275;115720
30/01/2020 17:04;115280;115500;115280;115500
30/01/2020 17:00;115060;115280;115030;115280
30/01/2020 16:42;114840;115060;114435;115060
30/01/2020 16:20;114620;114840;114470;114840
30/01/2020 15:16;114400;114620;114100;114620
30/01/2020 13:50;114180;114400;113890;114400
30/01/2020 12:55;113960;114180;113720;114180
30/01/2020 12:32;113960;114065;113740;113740
30/01/2020 11:21;114180;114520;113960;113960
30/01/2020 10:54;114400;114405;114180;114180
30/01/2020 09:56;114620;114875;114400;114400
30/01/2020 09:07;114840;115040;114620;114620
30/01/2020 09:06;115060;115060;114840;114840
30/01/2020 09:05;115280;115500;115060;115060
30/01/2020 09:01;115500;115500;115280;115280
30/01/2020 09:01;115720;115720;115500;115500
30/01/2020 09:01;115940;115940;115720;115720
29/01/2020 17:23;116160;116365;115940;115940
29/01/2020 17:16;116380;116380;116160;116160
29/01/2020 17:10;116600;116600;116380;116380
29/01/2020 17:03;116820;116820;116600;116600
29/01/2020 15:46;117040;117465;116820;116820
29/01/2020 14:23;117040;117260;116765;117260
29/01/2020 13:00;117040;117340;116820;116820
29/01/2020 11:57;117040;117260;116670;117260
29/01/2020 11:54;117040;117040;116820;116820
29/01/2020 11:39;117260;117330;117040;117040
29/01/2020 10:40;117480;117655;117260;117260
29/01/2020 10:19;117700;117775;117480;117480
29/01/2020 09:17;117920;118195;117700;117700
29/01/2020 09:01;117920;118140;117880;118140
29/01/2020 09:00;117700;117920;117700;117920
29/01/2020 09:00;117480;117700;117150;117700
28/01/2020 16:32;117480;117855;117260;117260
28/01/2020 15:57;117480;117700;117440;117700
28/01/2020 15:54;117260;117480;117260;117480
28/01/2020 14:05;117040;117260;116710;117260
28/01/2020 13:04;116820;117040;116520;117040
28/01/2020 12:56;116820;116820;116600;116600
28/01/2020 12:26;117040;117275;116820;116820
28/01/2020 12:20;117040;117260;117040;117260
28/01/2020 11:40;116820;117040;116450;117040
28/01/2020 11:39;116820;116820;116600;116600
28/01/2020 10:31;117040;117410;116820;116820
28/01/2020 10:27;117040;117260;117040;117260
28/01/2020 10:22;116820;117040;116820;117040
28/01/2020 10:18;116600;116820;116600;116820
28/01/2020 09:50;116380;116600;116320;116600
28/01/2020 09:34;116160;116380;116160;116380
28/01/2020 09:01;115940;116160;115800;116160
27/01/2020 17:51;115720;115940;115400;115940
27/01/2020 17:31;115720;115835;115500;115500
27/01/2020 16:01;115940;116100;115720;115720
27/01/2020 12:51;116160;116430;115940;115940
27/01/2020 11:17;116380;116810;116160;116160
27/01/2020 10:13;116600;116830;116380;116380
27/01/2020 10:00;116820;117040;116600;116600
27/01/2020 09:14;117040;117460;116820;116820
27/01/2020 09:09;117260;117260;117040;117040
27/01/2020 09:09;117480;117480;117260;117260
27/01/2020 09:09;117700;117700;117480;117480
27/01/2020 09:09;117920;117920;117700;117700
27/01/2020 09:09;118140;118140;117920;117920
27/01/2020 09:09;118360;118360;118140;118140
27/01/2020 09:09;118580;118580;118360;118360
27/01/2020 09:09;118800;118800;118580;118580
27/01/2020 09:09;119020;119020;118800;118800
27/01/2020 09:09;119240;119240;119020;119020
24/01/2020 17:04;119460;119820;119240;119240
24/01/2020 16:36;119460;119680;119150;119680
24/01/2020 14:53;119460;119790;119240;119240
24/01/2020 14:18;119460;119680;119200;119680
24/01/2020 12:50;119460;119700;119240;119240
24/01/2020 12:18;119680;119745;119460;119460
24/01/2020 12:10;119900;119900;119680;119680
24/01/2020 10:54;120120;120200;119900;119900
24/01/2020 10:12;120340;120460;120120;120120
24/01/2020 09:04;120560;120805;120340;120340
23/01/2020 16:20;120560;120780;120260;120780
23/01/2020 15:44;120340;120560;120260;120560
23/01/2020 15:23;120120;120340;120015;120340
23/01/2020 15:20;119900;120120;119900;120120
23/01/2020 14:46;119680;119900;119650;119900
23/01/2020 14:07;119460;119680;119405;119680
